Model: llama2:70b-chat
Dataset: SAMSum.json
Temperature: 0.1
Total inference time: 60286.37 seconds
Average inference time per article: 30.7 seconds
Inference times per article:
Article 990: 36.08 seconds
Article 991: 38.68 seconds
Article 992: 46.40 seconds
Article 993: 23.14 seconds
Article 994: 31.95 seconds
Article 995: 52.39 seconds
Article 996: 36.03 seconds
Article 997: 29.48 seconds
Article 998: 25.40 seconds
Article 999: 40.05 seconds
Article 1000: 35.96 seconds
Article 1001: 45.86 seconds
Article 1002: 47.95 seconds
Article 1003: 17.61 seconds
Article 1004: 18.00 seconds
Article 1005: 18.24 seconds
Article 1006: 49.95 seconds
Article 1007: 25.97 seconds
Article 1008: 27.52 seconds
Article 1009: 50.12 seconds
Article 1010: 35.76 seconds
Article 1011: 11.54 seconds
Article 1012: 28.74 seconds
Article 1013: 32.73 seconds
Article 1014: 45.29 seconds
Article 1015: 19.97 seconds
Article 1016: 15.00 seconds
Article 1017: 28.93 seconds
Article 1018: 41.50 seconds
Article 1019: 31.55 seconds
Article 1020: 12.33 seconds
Article 1021: 32.72 seconds
Article 1022: 30.63 seconds
Article 1023: 38.57 seconds
Article 1024: 39.14 seconds
Article 1025: 2.24 seconds
Article 1026: 18.69 seconds
Article 1027: 15.02 seconds
Article 1028: 37.65 seconds
Article 1029: 29.36 seconds
Article 1030: 37.36 seconds
Article 1031: 32.90 seconds
Article 1032: 33.72 seconds
Article 1033: 40.51 seconds
Article 1034: 49.30 seconds
Article 1035: 24.01 seconds
Article 1036: 42.31 seconds
Article 1037: 38.09 seconds
Article 1038: 26.00 seconds
Article 1039: 27.35 seconds
Article 1040: 32.96 seconds
Article 1041: 27.27 seconds
Article 1042: 38.31 seconds
Article 1043: 38.71 seconds
Article 1044: 22.36 seconds
Article 1045: 27.92 seconds
Article 1046: 32.83 seconds
Article 1047: 20.68 seconds
Article 1048: 26.35 seconds
Article 1049: 30.98 seconds
Article 1050: 24.92 seconds
Article 1051: 28.45 seconds
Article 1052: 32.25 seconds
Article 1053: 42.40 seconds
Article 1054: 23.05 seconds
Article 1055: 30.78 seconds
Article 1056: 14.88 seconds
Article 1057: 24.11 seconds
Article 1058: 23.09 seconds
Article 1059: 33.20 seconds
Article 1060: 28.92 seconds
Article 1061: 21.93 seconds
Article 1062: 25.78 seconds
Article 1063: 23.23 seconds
Article 1064: 31.38 seconds
Article 1065: 37.65 seconds
Article 1066: 26.86 seconds
Article 1067: 29.85 seconds
Article 1068: 24.85 seconds
Article 1069: 34.20 seconds
Article 1070: 43.14 seconds
Article 1071: 35.51 seconds
Article 1072: 36.18 seconds
Article 1073: 42.23 seconds
Article 1074: 49.25 seconds
Article 1075: 51.75 seconds
Article 1076: 11.19 seconds
Article 1077: 15.16 seconds
Article 1078: 35.40 seconds
Article 1079: 31.16 seconds
Article 1080: 41.85 seconds
Article 1081: 29.20 seconds
Article 1082: 36.90 seconds
Article 1083: 19.92 seconds
Article 1084: 9.21 seconds
Article 1085: 46.79 seconds
Article 1086: 13.86 seconds
Article 1087: 30.97 seconds
Article 1088: 29.78 seconds
Article 1089: 44.11 seconds
Article 1090: 39.47 seconds
Article 1091: 49.20 seconds
Article 1092: 23.72 seconds
Article 1093: 33.67 seconds
Article 1094: 29.62 seconds
Article 1095: 19.54 seconds
Article 1096: 24.90 seconds
Article 1097: 31.24 seconds
Article 1098: 38.52 seconds
Article 1099: 37.27 seconds
Article 1100: 38.84 seconds
Article 1101: 34.69 seconds
Article 1102: 37.87 seconds
Article 1103: 43.44 seconds
Article 1104: 9.97 seconds
Article 1105: 21.35 seconds
Article 1106: 32.82 seconds
Article 1107: 25.32 seconds
Article 1108: 5.78 seconds
Article 1109: 27.62 seconds
Article 1110: 28.39 seconds
Article 1111: 32.19 seconds
Article 1112: 48.42 seconds
Article 1113: 46.42 seconds
Article 1114: 36.03 seconds
Article 1115: 19.00 seconds
Article 1116: 30.44 seconds
Article 1117: 32.55 seconds
Article 1118: 37.90 seconds
Article 1119: 22.36 seconds
Article 1120: 35.27 seconds
Article 1121: 22.49 seconds
Article 1122: 16.31 seconds
Article 1123: 15.60 seconds
Article 1124: 26.86 seconds
Article 1125: 26.51 seconds
Article 1126: 37.52 seconds
Article 1127: 37.66 seconds
Article 1128: 27.01 seconds
Article 1129: 33.94 seconds
Article 1130: 26.00 seconds
Article 1131: 37.57 seconds
Article 1132: 28.10 seconds
Article 1133: 13.98 seconds
Article 1134: 36.09 seconds
Article 1135: 28.59 seconds
Article 1136: 30.82 seconds
Article 1137: 39.48 seconds
Article 1138: 25.44 seconds
Article 1139: 28.57 seconds
Article 1140: 44.02 seconds
Article 1141: 24.33 seconds
Article 1142: 28.16 seconds
Article 1143: 49.22 seconds
Article 1144: 26.03 seconds
Article 1145: 43.51 seconds
Article 1146: 29.91 seconds
Article 1147: 0.00 seconds
Article 1148: 17.32 seconds
Article 1149: 17.63 seconds
Article 1150: 31.38 seconds
Article 1151: 27.70 seconds
Article 1152: 34.99 seconds
Article 1153: 23.49 seconds
Article 1154: 46.17 seconds
Article 1155: 16.72 seconds
Article 1156: 32.61 seconds
Article 1157: 23.92 seconds
Article 1158: 18.49 seconds
Article 1159: 22.96 seconds
Article 1160: 48.40 seconds
Article 1161: 25.84 seconds
Article 1162: 23.38 seconds
Article 1163: 28.35 seconds
Article 1164: 41.10 seconds
Article 1165: 26.31 seconds
Article 1166: 30.40 seconds
Article 1167: 31.04 seconds
Article 1168: 31.00 seconds
Article 1169: 30.76 seconds
Article 1170: 26.64 seconds
Article 1171: 36.18 seconds
Article 1172: 26.50 seconds
Article 1173: 33.27 seconds
Article 1174: 41.88 seconds
Article 1175: 28.81 seconds
Article 1176: 40.40 seconds
Article 1177: 33.02 seconds
Article 1178: 30.16 seconds
Article 1179: 35.16 seconds
Article 1180: 21.12 seconds
Article 1181: 25.12 seconds
Article 1182: 20.26 seconds
Article 1183: 38.71 seconds
Article 1184: 24.68 seconds
Article 1185: 30.70 seconds
Article 1186: 32.65 seconds
Article 1187: 24.17 seconds
Article 1188: 34.76 seconds
Article 1189: 40.84 seconds
Article 1190: 41.04 seconds
Article 1191: 49.62 seconds
Article 1192: 7.11 seconds
Article 1193: 29.01 seconds
Article 1194: 37.42 seconds
Article 1195: 4.31 seconds
Article 1196: 42.44 seconds
Article 1197: 28.61 seconds
Article 1198: 44.99 seconds
Article 1199: 25.32 seconds
Article 1200: 39.35 seconds
Article 1201: 20.82 seconds
Article 1202: 45.21 seconds
Article 1203: 23.83 seconds
Article 1204: 33.97 seconds
Article 1205: 23.61 seconds
Article 1206: 40.86 seconds
Article 1207: 6.65 seconds
Article 1208: 39.08 seconds
Article 1209: 15.97 seconds
Article 1210: 15.52 seconds
Article 1211: 25.10 seconds
Article 1212: 28.28 seconds
Article 1213: 31.16 seconds
Article 1214: 19.85 seconds
Article 1215: 36.95 seconds
Article 1216: 22.36 seconds
Article 1217: 35.20 seconds
Article 1218: 27.64 seconds
Article 1219: 26.86 seconds
Article 1220: 25.27 seconds
Article 1221: 37.69 seconds
Article 1222: 25.38 seconds
Article 1223: 45.55 seconds
Article 1224: 35.66 seconds
Article 1225: 34.68 seconds
Article 1226: 17.40 seconds
Article 1227: 31.82 seconds
Article 1228: 26.04 seconds
Article 1229: 36.05 seconds
Article 1230: 19.97 seconds
Article 1231: 23.42 seconds
Article 1232: 21.38 seconds
Article 1233: 42.26 seconds
Article 1234: 12.70 seconds
Article 1235: 29.22 seconds
Article 1236: 29.53 seconds
Article 1237: 39.62 seconds
Article 1238: 36.64 seconds
Article 1239: 38.28 seconds
Article 1240: 24.22 seconds
Article 1241: 22.13 seconds
Article 1242: 38.75 seconds
Article 1243: 17.06 seconds
Article 1244: 49.34 seconds
Article 1245: 37.96 seconds
Article 1246: 28.33 seconds
Article 1247: 32.76 seconds
Article 1248: 28.23 seconds
Article 1249: 39.70 seconds
Article 1250: 35.73 seconds
Article 1251: 44.91 seconds
Article 1252: 21.85 seconds
Article 1253: 30.39 seconds
Article 1254: 35.06 seconds
Article 1255: 49.42 seconds
Article 1256: 28.15 seconds
Article 1257: 31.77 seconds
Article 1258: 20.50 seconds
Article 1259: 9.24 seconds
Article 1260: 31.20 seconds
Article 1261: 19.05 seconds
Article 1262: 27.33 seconds
Article 1263: 11.45 seconds
Article 1264: 42.44 seconds
Article 1265: 40.32 seconds
Article 1266: 27.98 seconds
Article 1267: 40.09 seconds
Article 1268: 40.49 seconds
Article 1269: 51.25 seconds
Article 1270: 17.66 seconds
Article 1271: 36.51 seconds
Article 1272: 17.50 seconds
Article 1273: 38.07 seconds
Article 1274: 23.17 seconds
Article 1275: 28.42 seconds
Article 1276: 42.07 seconds
Article 1277: 25.97 seconds
Article 1278: 28.16 seconds
Article 1279: 15.95 seconds
Article 1280: 31.98 seconds
Article 1281: 33.80 seconds
Article 1282: 24.68 seconds
Article 1283: 9.06 seconds
Article 1284: 28.53 seconds
Article 1285: 0.00 seconds
Article 1286: 24.40 seconds
Article 1287: 17.78 seconds
Article 1288: 24.07 seconds
Article 1289: 35.51 seconds
Article 1290: 28.48 seconds
Article 1291: 17.91 seconds
Article 1292: 18.30 seconds
Article 1293: 32.98 seconds
Article 1294: 31.76 seconds
Article 1295: 36.82 seconds
Article 1296: 39.86 seconds
Article 1297: 22.64 seconds
Article 1298: 31.22 seconds
Article 1299: 23.47 seconds
Article 1300: 9.49 seconds
Article 1301: 37.38 seconds
Article 1302: 13.40 seconds
Article 1303: 26.23 seconds
Article 1304: 38.00 seconds
Article 1305: 30.08 seconds
Article 1306: 22.00 seconds
Article 1307: 31.37 seconds
Article 1308: 28.87 seconds
Article 1309: 37.42 seconds
Article 1310: 31.53 seconds
Article 1311: 26.70 seconds
Article 1312: 35.91 seconds
Article 1313: 33.83 seconds
Article 1314: 16.46 seconds
Article 1315: 28.48 seconds
Article 1316: 39.22 seconds
Article 1317: 31.96 seconds
Article 1318: 38.53 seconds
Article 1319: 12.64 seconds
Article 1320: 28.07 seconds
Article 1321: 39.49 seconds
Article 1322: 11.54 seconds
Article 1323: 44.03 seconds
Article 1324: 30.30 seconds
Article 1325: 27.96 seconds
Article 1326: 29.39 seconds
Article 1327: 37.40 seconds
Article 1328: 53.74 seconds
Article 1329: 36.11 seconds
Article 1330: 30.99 seconds
Article 1331: 30.29 seconds
Article 1332: 33.63 seconds
Article 1333: 27.13 seconds
Article 1334: 32.09 seconds
Article 1335: 32.24 seconds
Article 1336: 26.72 seconds
Article 1337: 31.92 seconds
Article 1338: 28.25 seconds
Article 1339: 47.93 seconds
Article 1340: 28.82 seconds
Article 1341: 29.33 seconds
Article 1342: 26.32 seconds
Article 1343: 40.52 seconds
Article 1344: 42.87 seconds
Article 1345: 36.45 seconds
Article 1346: 18.06 seconds
Article 1347: 32.13 seconds
Article 1348: 13.79 seconds
Article 1349: 36.27 seconds
Article 1350: 17.97 seconds
Article 1351: 19.14 seconds
Article 1352: 20.28 seconds
Article 1353: 32.83 seconds
Article 1354: 37.99 seconds
Article 1355: 33.95 seconds
Article 1356: 18.26 seconds
Article 1357: 27.16 seconds
Article 1358: 34.24 seconds
Article 1359: 33.26 seconds
Article 1360: 13.37 seconds
Article 1361: 40.22 seconds
Article 1362: 12.08 seconds
Article 1363: 30.36 seconds
Article 1364: 37.34 seconds
Article 1365: 40.48 seconds
Article 1366: 35.34 seconds
Article 1367: 37.98 seconds
Article 1368: 9.08 seconds
Article 1369: 24.10 seconds
Article 1370: 17.91 seconds
Article 1371: 38.74 seconds
Article 1372: 25.92 seconds
Article 1373: 28.55 seconds
Article 1374: 23.21 seconds
Article 1375: 22.31 seconds
Article 1376: 28.75 seconds
Article 1377: 16.29 seconds
Article 1378: 37.53 seconds
Article 1379: 24.18 seconds
Article 1380: 15.73 seconds
Article 1381: 26.34 seconds
Article 1382: 38.80 seconds
Article 1383: 35.77 seconds
Article 1384: 39.39 seconds
Article 1385: 19.81 seconds
Article 1386: 34.12 seconds
Article 1387: 27.21 seconds
Article 1388: 24.51 seconds
Article 1389: 28.04 seconds
Article 1390: 27.12 seconds
Article 1391: 6.63 seconds
Article 1392: 16.54 seconds
Article 1393: 40.96 seconds
Article 1394: 29.37 seconds
Article 1395: 35.76 seconds
Article 1396: 24.17 seconds
Article 1397: 18.80 seconds
Article 1398: 41.43 seconds
Article 1399: 29.66 seconds
Article 1400: 37.47 seconds
Article 1401: 27.34 seconds
Article 1402: 24.36 seconds
Article 1403: 14.82 seconds
Article 1404: 50.79 seconds
Article 1405: 18.69 seconds
Article 1406: 30.74 seconds
Article 1407: 20.86 seconds
Article 1408: 36.45 seconds
Article 1409: 26.25 seconds
Article 1410: 34.90 seconds
Article 1411: 37.71 seconds
Article 1412: 18.04 seconds
Article 1413: 24.67 seconds
Article 1414: 38.34 seconds
Article 1415: 33.20 seconds
Article 1416: 40.64 seconds
Article 1417: 42.97 seconds
Article 1418: 31.00 seconds
Article 1419: 33.57 seconds
Article 1420: 35.77 seconds
Article 1421: 19.95 seconds
Article 1422: 34.20 seconds
Article 1423: 49.81 seconds
Article 1424: 32.10 seconds
Article 1425: 33.59 seconds
Article 1426: 36.08 seconds
Article 1427: 18.41 seconds
Article 1428: 42.81 seconds
Article 1429: 36.23 seconds
Article 1430: 31.27 seconds
Article 1431: 30.39 seconds
Article 1432: 19.30 seconds
Article 1433: 23.01 seconds
Article 1434: 36.36 seconds
Article 1435: 38.63 seconds
Article 1436: 56.24 seconds
Article 1437: 21.63 seconds
Article 1438: 32.57 seconds
Article 1439: 25.63 seconds
Article 1440: 17.96 seconds
Article 1441: 34.77 seconds
Article 1442: 25.56 seconds
Article 1443: 11.38 seconds
Article 1444: 23.83 seconds
Article 1445: 3.81 seconds
Article 1446: 25.75 seconds
Article 1447: 19.76 seconds
Article 1448: 38.07 seconds
Article 1449: 34.52 seconds
Article 1450: 22.85 seconds
Article 1451: 19.82 seconds
Article 1452: 43.36 seconds
Article 1453: 42.08 seconds
Article 1454: 31.39 seconds
Article 1455: 28.84 seconds
Article 1456: 26.02 seconds
Article 1457: 31.72 seconds
Article 1458: 31.03 seconds
Article 1459: 35.68 seconds
Article 1460: 18.74 seconds
Article 1461: 44.00 seconds
Article 1462: 36.19 seconds
Article 1463: 42.44 seconds
Article 1464: 45.59 seconds
Article 1465: 30.06 seconds
Article 1466: 16.56 seconds
Article 1467: 32.24 seconds
Article 1468: 38.12 seconds
Article 1469: 16.80 seconds
Article 1470: 29.52 seconds
Article 1471: 32.44 seconds
Article 1472: 47.00 seconds
Article 1473: 44.38 seconds
Article 1474: 42.12 seconds
Article 1475: 28.72 seconds
Article 1476: 31.31 seconds
Article 1477: 29.15 seconds
Article 1478: 41.10 seconds
Article 1479: 27.55 seconds
Article 1480: 28.03 seconds
Article 1481: 20.72 seconds
Article 1482: 28.16 seconds
Article 1483: 25.61 seconds
Article 1484: 28.17 seconds
Article 1485: 24.72 seconds
Article 1486: 31.71 seconds
Article 1487: 19.88 seconds
Article 1488: 33.02 seconds
Article 1489: 16.07 seconds
Article 1490: 10.52 seconds
Article 1491: 32.58 seconds
Article 1492: 36.72 seconds
Article 1493: 11.14 seconds
Article 1494: 35.24 seconds
Article 1495: 44.67 seconds
Article 1496: 27.35 seconds
Article 1497: 37.81 seconds
Article 1498: 15.66 seconds
Article 1499: 25.33 seconds
Article 1500: 24.70 seconds
Article 1501: 31.57 seconds
Article 1502: 38.72 seconds
Article 1503: 26.84 seconds
Article 1504: 45.32 seconds
Article 1505: 24.90 seconds
Article 1506: 19.84 seconds
Article 1507: 31.98 seconds
Article 1508: 40.66 seconds
Article 1509: 31.77 seconds
Article 1510: 36.10 seconds
Article 1511: 30.18 seconds
Article 1512: 26.34 seconds
Article 1513: 36.93 seconds
Article 1514: 34.29 seconds
Article 1515: 35.18 seconds
Article 1516: 26.53 seconds
Article 1517: 30.97 seconds
Article 1518: 42.24 seconds
Article 1519: 24.46 seconds
Article 1520: 19.78 seconds
Article 1521: 25.20 seconds
Article 1522: 24.49 seconds
Article 1523: 37.87 seconds
Article 1524: 28.09 seconds
Article 1525: 38.20 seconds
Article 1526: 10.50 seconds
Article 1527: 23.04 seconds
Article 1528: 32.37 seconds
Article 1529: 39.01 seconds
Article 1530: 29.60 seconds
Article 1531: 45.87 seconds
Article 1532: 37.51 seconds
Article 1533: 23.55 seconds
Article 1534: 19.39 seconds
Article 1535: 46.88 seconds
Article 1536: 14.22 seconds
Article 1537: 22.04 seconds
Article 1538: 23.72 seconds
Article 1539: 16.89 seconds
Article 1540: 44.34 seconds
Article 1541: 28.50 seconds
Article 1542: 32.49 seconds
Article 1543: 36.01 seconds
Article 1544: 40.48 seconds
Article 1545: 35.61 seconds
Article 1546: 20.51 seconds
Article 1547: 26.28 seconds
Article 1548: 37.86 seconds
Article 1549: 18.23 seconds
Article 1550: 23.67 seconds
Article 1551: 20.49 seconds
Article 1552: 23.16 seconds
Article 1553: 16.26 seconds
Article 1554: 21.41 seconds
Article 1555: 48.62 seconds
Article 1556: 28.85 seconds
Article 1557: 42.10 seconds
Article 1558: 45.92 seconds
Article 1559: 31.43 seconds
Article 1560: 28.69 seconds
Article 1561: 28.49 seconds
Article 1562: 25.43 seconds
Article 1563: 24.03 seconds
Article 1564: 30.35 seconds
Article 1565: 15.07 seconds
Article 1566: 42.52 seconds
Article 1567: 35.18 seconds
Article 1568: 37.47 seconds
Article 1569: 30.74 seconds
Article 1570: 26.42 seconds
Article 1571: 13.35 seconds
Article 1572: 22.10 seconds
Article 1573: 35.51 seconds
Article 1574: 33.80 seconds
Article 1575: 34.13 seconds
Article 1576: 27.61 seconds
Article 1577: 25.39 seconds
Article 1578: 25.94 seconds
Article 1579: 34.20 seconds
Article 1580: 31.70 seconds
Article 1581: 34.23 seconds
Article 1582: 42.06 seconds
Article 1583: 27.75 seconds
Article 1584: 27.96 seconds
Article 1585: 47.34 seconds
Article 1586: 37.71 seconds
Article 1587: 21.29 seconds
Article 1588: 7.14 seconds
Article 1589: 10.95 seconds
Article 1590: 36.84 seconds
Article 1591: 28.44 seconds
Article 1592: 14.51 seconds
Article 1593: 38.00 seconds
Article 1594: 17.53 seconds
Article 1595: 34.62 seconds
Article 1596: 31.55 seconds
Article 1597: 45.21 seconds
Article 1598: 38.95 seconds
Article 1599: 11.25 seconds
Article 1600: 25.24 seconds
Article 1601: 41.17 seconds
Article 1602: 41.40 seconds
Article 1603: 29.14 seconds
Article 1604: 24.28 seconds
Article 1605: 21.53 seconds
Article 1606: 42.71 seconds
Article 1607: 13.41 seconds
Article 1608: 22.03 seconds
Article 1609: 42.49 seconds
Article 1610: 43.40 seconds
Article 1611: 26.48 seconds
Article 1612: 22.53 seconds
Article 1613: 41.20 seconds
Article 1614: 28.09 seconds
Article 1615: 27.47 seconds
Article 1616: 36.02 seconds
Article 1617: 40.60 seconds
Article 1618: 32.41 seconds
Article 1619: 35.30 seconds
Article 1620: 14.46 seconds
Article 1621: 17.95 seconds
Article 1622: 12.67 seconds
Article 1623: 22.03 seconds
Article 1624: 29.51 seconds
Article 1625: 39.08 seconds
Article 1626: 35.33 seconds
Article 1627: 29.14 seconds
Article 1628: 36.61 seconds
Article 1629: 30.38 seconds
Article 1630: 20.22 seconds
Article 1631: 43.49 seconds
Article 1632: 35.05 seconds
Article 1633: 21.76 seconds
Article 1634: 38.01 seconds
Article 1635: 28.14 seconds
Article 1636: 33.43 seconds
Article 1637: 39.39 seconds
Article 1638: 28.54 seconds
Article 1639: 19.96 seconds
Article 1640: 46.43 seconds
Article 1641: 28.01 seconds
Article 1642: 32.93 seconds
Article 1643: 23.92 seconds
Article 1644: 36.36 seconds
Article 1645: 34.83 seconds
Article 1646: 25.84 seconds
Article 1647: 27.74 seconds
Article 1648: 39.82 seconds
Article 1649: 21.36 seconds
Article 1650: 9.38 seconds
Article 1651: 44.65 seconds
Article 1652: 13.61 seconds
Article 1653: 37.07 seconds
Article 1654: 28.56 seconds
Article 1655: 35.69 seconds
Article 1656: 48.53 seconds
Article 1657: 23.07 seconds
Article 1658: 39.76 seconds
Article 1659: 11.05 seconds
Article 1660: 35.52 seconds
Article 1661: 20.08 seconds
Article 1662: 37.82 seconds
Article 1663: 34.94 seconds
Article 1664: 23.08 seconds
Article 1665: 39.22 seconds
Article 1666: 33.01 seconds
Article 1667: 35.76 seconds
Article 1668: 26.30 seconds
Article 1669: 31.88 seconds
Article 1670: 40.82 seconds
Article 1671: 36.15 seconds
Article 1672: 31.10 seconds
Article 1673: 28.36 seconds
Article 1674: 40.65 seconds
Article 1675: 39.16 seconds
Article 1676: 15.23 seconds
Article 1677: 41.90 seconds
Article 1678: 22.26 seconds
Article 1679: 28.84 seconds
Article 1680: 28.55 seconds
Article 1681: 26.15 seconds
Article 1682: 25.28 seconds
Article 1683: 29.57 seconds
Article 1684: 12.10 seconds
Article 1685: 42.74 seconds
Article 1686: 35.85 seconds
Article 1687: 24.94 seconds
Article 1688: 35.28 seconds
Article 1689: 24.49 seconds
Article 1690: 30.67 seconds
Article 1691: 43.62 seconds
Article 1692: 20.79 seconds
Article 1693: 37.81 seconds
Article 1694: 38.80 seconds
Article 1695: 32.73 seconds
Article 1696: 43.95 seconds
Article 1697: 28.78 seconds
Article 1698: 18.58 seconds
Article 1699: 25.42 seconds
Article 1700: 22.87 seconds
Article 1701: 16.61 seconds
Article 1702: 36.94 seconds
Article 1703: 26.10 seconds
Article 1704: 21.58 seconds
Article 1705: 26.89 seconds
Article 1706: 2.59 seconds
Article 1707: 29.00 seconds
Article 1708: 33.03 seconds
Article 1709: 30.25 seconds
Article 1710: 19.96 seconds
Article 1711: 44.31 seconds
Article 1712: 29.44 seconds
Article 1713: 32.07 seconds
Article 1714: 42.69 seconds
Article 1715: 34.79 seconds
Article 1716: 40.70 seconds
Article 1717: 15.19 seconds
Article 1718: 21.84 seconds
Article 1719: 46.50 seconds
Article 1720: 21.74 seconds
Article 1721: 36.08 seconds
Article 1722: 23.59 seconds
Article 1723: 25.14 seconds
Article 1724: 41.12 seconds
Article 1725: 24.77 seconds
Article 1726: 37.82 seconds
Article 1727: 33.19 seconds
Article 1728: 30.73 seconds
Article 1729: 14.53 seconds
Article 1730: 22.44 seconds
Article 1731: 44.37 seconds
Article 1732: 41.26 seconds
Article 1733: 24.55 seconds
Article 1734: 38.73 seconds
Article 1735: 45.63 seconds
Article 1736: 44.63 seconds
Article 1737: 45.39 seconds
Article 1738: 46.92 seconds
Article 1739: 34.03 seconds
Article 1740: 29.66 seconds
Article 1741: 29.46 seconds
Article 1742: 10.34 seconds
Article 1743: 25.39 seconds
Article 1744: 21.43 seconds
Article 1745: 35.36 seconds
Article 1746: 22.76 seconds
Article 1747: 40.81 seconds
Article 1748: 24.94 seconds
Article 1749: 17.29 seconds
Article 1750: 36.44 seconds
Article 1751: 37.88 seconds
Article 1752: 16.17 seconds
Article 1753: 35.03 seconds
Article 1754: 34.26 seconds
Article 1755: 51.46 seconds
Article 1756: 32.06 seconds
Article 1757: 20.64 seconds
Article 1758: 33.84 seconds
Article 1759: 31.44 seconds
Article 1760: 32.45 seconds
Article 1761: 22.29 seconds
Article 1762: 30.70 seconds
Article 1763: 20.20 seconds
Article 1764: 33.16 seconds
Article 1765: 33.99 seconds
Article 1766: 29.34 seconds
Article 1767: 28.31 seconds
Article 1768: 16.89 seconds
Article 1769: 26.76 seconds
Article 1770: 32.47 seconds
Article 1771: 31.81 seconds
Article 1772: 46.01 seconds
Article 1773: 27.13 seconds
Article 1774: 28.67 seconds
Article 1775: 22.02 seconds
Article 1776: 35.87 seconds
Article 1777: 14.50 seconds
Article 1778: 17.05 seconds
Article 1779: 31.53 seconds
Article 1780: 45.92 seconds
Article 1781: 24.73 seconds
Article 1782: 30.73 seconds
Article 1783: 49.56 seconds
Article 1784: 37.18 seconds
Article 1785: 36.21 seconds
Article 1786: 36.23 seconds
Article 1787: 34.44 seconds
Article 1788: 19.62 seconds
Article 1789: 35.24 seconds
Article 1790: 17.64 seconds
Article 1791: 10.64 seconds
Article 1792: 52.66 seconds
Article 1793: 28.56 seconds
Article 1794: 7.04 seconds
Article 1795: 37.79 seconds
Article 1796: 34.37 seconds
Article 1797: 35.79 seconds
Article 1798: 19.85 seconds
Article 1799: 26.80 seconds
Article 1800: 46.55 seconds
Article 1801: 35.91 seconds
Article 1802: 37.71 seconds
Article 1803: 36.02 seconds
Article 1804: 32.23 seconds
Article 1805: 39.14 seconds
Article 1806: 32.40 seconds
Article 1807: 48.63 seconds
Article 1808: 25.62 seconds
Article 1809: 41.79 seconds
Article 1810: 22.63 seconds
Article 1811: 28.91 seconds
Article 1812: 37.47 seconds
Article 1813: 25.58 seconds
Article 1814: 33.41 seconds
Article 1815: 24.91 seconds
Article 1816: 20.91 seconds
Article 1817: 15.89 seconds
Article 1818: 26.29 seconds
Article 1819: 23.09 seconds
Article 1820: 46.61 seconds
Article 1821: 42.17 seconds
Article 1822: 37.64 seconds
Article 1823: 18.74 seconds
Article 1824: 28.40 seconds
Article 1825: 31.37 seconds
Article 1826: 15.70 seconds
Article 1827: 21.60 seconds
Article 1828: 25.58 seconds
Article 1829: 29.48 seconds
Article 1830: 25.76 seconds
Article 1831: 22.04 seconds
Article 1832: 26.84 seconds
Article 1833: 29.87 seconds
Article 1834: 35.28 seconds
Article 1835: 24.21 seconds
Article 1836: 36.23 seconds
Article 1837: 27.87 seconds
Article 1838: 46.64 seconds
Article 1839: 59.97 seconds
Article 1840: 24.68 seconds
Article 1841: 35.66 seconds
Article 1842: 35.17 seconds
Article 1843: 28.36 seconds
Article 1844: 15.86 seconds
Article 1845: 19.81 seconds
Article 1846: 36.13 seconds
Article 1847: 32.84 seconds
Article 1848: 24.90 seconds
Article 1849: 48.70 seconds
Article 1850: 12.84 seconds
Article 1851: 49.55 seconds
Article 1852: 30.10 seconds
Article 1853: 14.94 seconds
Article 1854: 19.41 seconds
Article 1855: 37.15 seconds
Article 1856: 34.31 seconds
Article 1857: 16.17 seconds
Article 1858: 41.41 seconds
Article 1859: 57.49 seconds
Article 1860: 35.33 seconds
Article 1861: 15.33 seconds
Article 1862: 47.27 seconds
Article 1863: 36.70 seconds
Article 1864: 37.74 seconds
Article 1865: 26.03 seconds
Article 1866: 54.77 seconds
Article 1867: 35.51 seconds
Article 1868: 16.32 seconds
Article 1869: 40.17 seconds
Article 1870: 26.86 seconds
Article 1871: 47.26 seconds
Article 1872: 26.64 seconds
Article 1873: 11.98 seconds
Article 1874: 41.05 seconds
Article 1875: 45.08 seconds
Article 1876: 26.71 seconds
Article 1877: 17.32 seconds
Article 1878: 39.21 seconds
Article 1879: 18.64 seconds
Article 1880: 46.61 seconds
Article 1881: 27.32 seconds
Article 1882: 30.24 seconds
Article 1883: 19.02 seconds
Article 1884: 32.91 seconds
Article 1885: 36.80 seconds
Article 1886: 46.62 seconds
Article 1887: 15.94 seconds
Article 1888: 47.71 seconds
Article 1889: 22.98 seconds
Article 1890: 47.59 seconds
Article 1891: 25.91 seconds
Article 1892: 14.71 seconds
Article 1893: 28.44 seconds
Article 1894: 29.53 seconds
Article 1895: 38.69 seconds
Article 1896: 38.40 seconds
Article 1897: 35.14 seconds
Article 1898: 29.31 seconds
Article 1899: 41.52 seconds
Article 1900: 34.51 seconds
Article 1901: 22.46 seconds
Article 1902: 41.54 seconds
Article 1903: 17.45 seconds
Article 1904: 27.25 seconds
Article 1905: 41.54 seconds
Article 1906: 45.15 seconds
Article 1907: 29.90 seconds
Article 1908: 20.54 seconds
Article 1909: 16.24 seconds
Article 1910: 22.81 seconds
Article 1911: 40.36 seconds
Article 1912: 36.91 seconds
Article 1913: 30.87 seconds
Article 1914: 32.30 seconds
Article 1915: 33.54 seconds
Article 1916: 18.75 seconds
Article 1917: 45.47 seconds
